Frame,X_Center,Y_Center,Force_Intensity
538,241,181,18197.8
539,241,181,18198.798
540,241,181,18198.227
541,241,181,18225.986
542,241,181,18305.404
543,241,181,18307.175
544,241,181,18304.166
545,240,180,18322.39
546,240,180,18401.231
547,240,180,18395.425
548,240,180,18432.713
549,240,180,18436.934
550,240,180,18492.336
551,240,180,18489.57
552,240,180,18532.024
553,240,180,18525.022
554,240,180,18576.25
555,240,180,18577.164
556,239,179,18552.006
557,239,179,18554.354
558,239,179,18589.34
559,239,179,18603.397
560,239,179,18577.789
561,239,179,18621.939
562,239,179,18628.66
563,239,179,18635.034
564,239,179,18609.718
565,239,179,18641.1
566,239,179,18661.873
567,239,179,18674.227
568,240,179,18674.269
569,240,179,18701.02
570,240,179,18688.727
571,240,179,18704.609
572,240,179,18704.544
573,239,179,18734.644
574,240,179,18843.377
575,240,179,18857.545
576,239,179,18863.227
577,239,179,18872.565
578,239,179,19000.528
579,239,179,19023.538
580,239,179,19071.627
581,239,179,19098.887
582,239,179,19163.651
583,239,179,19167.954
584,239,179,19208.923
585,239,179,19231.507
586,239,179,19269.943
587,239,179,19284.072
588,239,179,19318.947
589,239,179,19352.573
590,239,179,19361.283
591,239,179,19376.051
592,239,179,19369.25
593,239,179,19374.649
594,239,179,19290.804
595,239,179,19309.545
596,239,179,18764.562
597,239,179,18784.653
598,239,179,18784.59
599,239,179,18779.06
600,239,179,18737.691
601,239,179,18764.35
602,239,179,18782.651
603,239,179,18784.976
604,239,179,18825.251
605,239,179,18848.493
606,239,179,18772.373
607,239,179,18783.803
608,239,179,18848.504
609,239,179,18883.398
610,239,179,18887.528
611,239,179,18887.69
612,239,179,18888.142
613,239,179,18915.772
614,239,179,18932.449
615,239,179,18933.214
616,239,179,18911.788
617,239,179,18930.669
618,239,179,18945.28
619,239,179,18955.352
620,239,179,18955.871
621,239,179,18981.153
622,239,179,18976.609
623,239,179,18986.824
624,239,179,18999.101
625,239,179,19017.809
626,239,179,19015.969
627,239,179,19017.961
628,239,179,19028.82
629,239,179,19043.791
630,239,179,19085.376
631,239,179,19091.49
632,239,179,19084.183
633,239,179,19092.937
634,239,179,19138.868
635,239,179,19141.258
636,239,179,19176.77
637,239,179,19189.239
638,239,179,19232.306
639,239,179,19241.141
640,239,179,19234.287
641,239,179,19238.09
642,239,179,19385.725
643,239,179,19390.552
644,239,179,19419.668
645,239,179,19442.331
646,239,179,19453.311
647,239,179,19454.253
648,239,179,19455.817
649,239,179,19476.071
650,239,179,19525.725
651,239,179,19548.037
652,239,179,19551.676
653,239,179,19568.2
654,239,179,19648.149
655,239,179,19657.016
656,239,179,19657.953
657,239,179,19675.647
658,239,179,19727.233
659,239,179,19735.449
660,239,179,19744.515
661,239,179,19741.442
662,239,179,19733.391
663,239,179,19743.932
664,239,179,19198.416
665,239,179,19200.055
666,239,179,19191.257
667,239,179,19180.477
668,239,179,19107.968
669,239,179,19102.182
670,239,179,19067.795
671,239,179,19060.917
672,239,179,18989.018
673,239,179,18999.229
674,239,179,18922.942
675,239,179,18928.899
676,239,179,18880.216
677,239,179,18890.622
678,239,179,18883.628
679,239,179,18893.837
680,239,179,18898.716
681,239,179,18903.545
682,239,179,18848.104
683,239,179,18842.714
684,239,179,18755.58
685,239,179,18766.66
686,239,179,18750.581
687,239,179,18752.291
688,239,179,18742.322
689,239,179,18769.975
690,239,179,18809.675
691,239,179,18820.232
692,239,179,18817.098
693,239,179,18825.109
694,239,179,18822.018
695,239,179,18828.791
696,239,179,18815.756
697,239,179,18835.897
698,239,179,18842.461
699,239,179,18842.821
700,239,179,18838.514
701,239,179,18836.972
702,239,179,18827.68
703,239,179,18828.674
704,239,179,18814.394
705,239,179,18810.706
706,239,179,18804.231
707,239,179,18801.954
708,239,179,18802.245
709,239,179,18802.037
710,239,179,18768.139
711,239,179,18769.254
712,239,179,18739.843
713,239,179,18741.402
714,239,179,18741.604
715,239,179,18736.899
716,239,179,18714.534
717,239,179,18712.654
718,239,179,18704.511
719,239,179,18698.029
720,239,179,18658.482
721,239,179,18658.378
722,239,179,18653.09
723,239,179,18627.316
724,239,179,18665.467
725,239,179,18667.179
726,239,179,18661.574
727,239,179,18656.25
728,239,179,18699.897
729,239,179,18697.974
730,239,179,18739.622
731,239,179,18732.886
732,239,179,18750.24
733,239,179,18756.697
734,239,179,18759.329
735,239,179,18758.384
736,239,179,18760.151
737,239,179,18763.71
738,239,179,18764.894
739,239,179,18761.627
740,239,179,18773.526
741,239,179,18774.131
742,239,179,18774.15
743,239,179,18770.695
744,239,179,18782.937
745,239,179,18780.515
746,239,179,18781.463
747,239,179,18772.895
748,239,179,18771.957
749,239,179,18771.75
750,239,179,18770.864
751,239,179,18764.293
752,239,179,18760.267
753,239,179,18761.844
754,239,179,18762.156
755,239,179,18758.776
756,239,179,18760.041
757,239,179,18759.44
758,239,179,18761.466
759,239,179,18762.872
760,239,179,18767.135
761,239,179,18762.596
762,239,179,18762.246
763,239,179,18763.116
764,239,179,18760.065
765,239,179,18756.864
766,239,179,18755.541
767,239,179,18752.715
768,239,179,18754.229
769,239,179,18753.917
770,239,179,18753.928
771,239,179,18755.396
772,239,179,18751.087
773,239,179,18753.315
774,239,179,18743.688
775,239,179,18735.894
776,239,179,18737.186
777,239,179,18738.745
778,239,179,18732.633
779,239,179,18712.651
780,239,179,18715.092
781,239,179,18710.928
782,239,179,18713.052
783,239,179,18711.747
784,239,179,18737.429
785,239,179,18742.347
786,239,179,18744.048
787,239,179,18743.238
788,239,179,18748.615
789,239,179,18750.325
790,239,179,18751.613
791,239,179,18749.222
792,239,179,18752.604
793,239,179,18751.41
794,239,179,18751.144
795,239,179,18751.869
796,239,179,18760.998
797,239,179,18760.395
798,239,179,18761.553
799,239,179,18762.319
800,239,179,18755.716
801,239,179,18758.471
802,239,179,18758.856
803,239,179,18753.984
804,239,179,18754.255
805,239,179,18752.24
806,239,179,18750.811
807,239,179,18751.244
808,239,179,18760.375
809,239,179,18761.369
810,239,179,18760.953
811,239,179,18757.184
812,239,179,18757.111
813,239,179,18757.193
814,239,179,18758.069
815,239,179,18758.604
816,239,179,18760.543
817,239,179,18762.366
818,239,179,18760.923
819,239,179,18760.34
820,239,179,18760.534
821,239,179,18757.317
822,239,179,18756.217
823,239,179,18755.669
824,239,179,18759.011
825,239,179,18758.782
826,239,179,18759.52
827,239,179,18754.527
828,239,179,18757.841
829,239,179,18758.929
830,239,179,18759.449
831,239,179,18759.055
832,239,179,18760.796
833,239,179,18760.619
834,239,179,18759.22
835,239,179,18758.174
836,239,179,18758.055
837,239,179,18758.014
838,239,179,18757.978
839,239,179,18755.581
840,239,179,18759.149
841,239,179,18755.777
842,239,179,18755.919
843,239,179,18750.077
844,239,179,18762.193
845,239,179,18760.222
846,239,179,18760.222
847,239,179,18760.179
848,239,179,18762.578
849,239,179,18763.651
850,239,179,18761.568
851,239,179,18759.083
852,239,179,18756.328
853,239,179,18755.937
854,239,179,18757.481
855,239,179,18756.512
856,239,179,18757.265
857,239,179,18754.849
858,239,179,18753.047
859,239,179,18753.834
860,239,179,18755.373
861,239,179,18755.106
862,239,179,18754.823
863,239,179,18753.651
864,239,179,18755.449
865,239,179,18754.318
866,239,179,18753.637
867,239,179,18754.174
868,239,179,18754.067
869,239,179,18754.08
870,239,179,18753.922
