Frame,X_Center,Y_Center,Force_Intensity
598,244,177,18784.59
599,244,177,18779.06
600,244,177,18737.691
601,244,177,18764.35
602,244,177,18782.651
603,244,177,18784.976
604,244,177,18825.251
605,244,177,18848.493
606,246,177,18772.373
607,246,177,18783.803
608,245,177,18848.504
609,245,177,18883.398
610,245,177,18887.528
611,246,177,18887.69
612,246,177,18888.142
613,246,177,18915.772
614,247,176,18932.449
615,247,176,18933.214
616,247,176,18911.788
617,247,176,18930.669
618,248,176,18945.28
619,248,176,18955.352
620,248,176,18955.871
621,248,176,18981.153
622,248,176,18976.609
623,248,176,18986.824
624,248,176,18999.101
625,248,176,19017.809
626,248,176,19015.969
627,249,176,19017.961
628,249,176,19028.82
629,249,176,19043.791
630,249,176,19085.376
631,249,176,19091.49
632,249,176,19084.183
633,249,176,19092.937
634,249,176,19138.868
635,249,176,19141.258
636,249,176,19176.77
637,249,177,19189.239
638,249,177,19232.306
639,249,177,19241.141
640,249,177,19234.287
641,249,177,19238.09
642,249,178,19385.725
643,250,178,19390.552
644,250,178,19419.668
645,250,179,19442.331
646,250,179,19453.311
647,250,179,19454.253
648,250,179,19455.817
649,250,179,19476.071
650,250,179,19525.725
651,250,179,19548.037
652,250,179,19551.676
653,250,180,19568.2
654,249,180,19648.149
655,249,180,19657.016
656,249,180,19657.953
657,249,180,19675.647
658,249,180,19727.233
659,249,180,19735.449
660,248,180,19744.515
661,249,180,19741.442
662,248,180,19733.391
663,248,180,19743.932
664,248,178,19198.416
665,247,178,19200.055
666,247,178,19191.257
667,247,178,19180.477
668,247,177,19107.968
669,247,178,19102.182
670,246,178,19067.795
671,246,178,19060.917
672,247,178,18989.018
673,247,178,18999.229
674,247,178,18922.942
675,247,178,18928.899
676,248,178,18880.216
677,248,178,18890.622
678,247,178,18883.628
679,247,178,18893.837
680,247,178,18898.716
681,247,178,18903.545
682,248,178,18848.104
683,248,178,18842.714
684,248,177,18755.58
685,248,177,18766.66
686,248,177,18750.581
687,248,177,18752.291
688,247,177,18742.322
689,247,177,18769.975
690,246,177,18809.675
691,246,177,18820.232
692,246,177,18817.098
693,246,177,18825.109
694,246,178,18822.018
695,246,177,18828.791
696,246,177,18815.756
697,246,178,18835.897
698,246,177,18842.461
699,246,177,18842.821
700,246,177,18838.514
701,246,177,18836.972
702,246,177,18827.68
703,246,177,18828.674
704,246,177,18814.394
705,246,177,18810.706
706,246,177,18804.231
707,246,177,18801.954
708,246,177,18802.245
709,246,177,18802.037
710,246,177,18768.139
711,246,177,18769.254
712,246,177,18739.843
713,246,177,18741.402
714,247,178,18741.604
715,247,178,18736.899
716,247,178,18714.534
717,247,178,18712.654
718,247,178,18704.511
719,247,178,18698.029
720,247,178,18658.482
721,247,178,18658.378
722,247,178,18653.09
723,247,178,18627.316
724,247,178,18665.467
725,247,178,18667.179
726,247,178,18661.574
727,247,178,18656.25
728,247,178,18699.897
729,247,179,18697.974
730,246,179,18739.622
731,246,179,18732.886
732,246,179,18750.24
733,246,178,18756.697
734,246,178,18759.329
735,246,178,18758.384
736,246,179,18760.151
737,246,179,18763.71
738,246,179,18764.894
739,246,179,18761.627
740,246,179,18773.526
741,246,179,18774.131
742,246,179,18774.15
743,246,179,18770.695
744,246,179,18782.937
745,246,179,18780.515
746,246,179,18781.463
747,246,179,18772.895
748,246,178,18771.957
749,246,178,18771.75
750,246,178,18770.864
751,246,178,18764.293
752,246,178,18760.267
753,246,178,18761.844
754,246,178,18762.156
755,246,179,18758.776
756,246,179,18760.041
757,246,179,18759.44
758,246,179,18761.466
759,246,179,18762.872
760,246,179,18767.135
761,246,179,18762.596
762,246,179,18762.246
763,246,179,18763.116
764,246,179,18760.065
765,246,179,18756.864
766,246,179,18755.541
767,246,179,18752.715
768,246,179,18754.229
769,246,179,18753.917
770,246,179,18753.928
771,246,179,18755.396
772,246,179,18751.087
773,246,179,18753.315
774,246,179,18743.688
775,246,179,18735.894
776,245,178,18737.186
777,245,178,18738.745
778,245,178,18732.633
779,245,178,18712.651
780,245,178,18715.092
781,245,178,18710.928
782,245,179,18713.052
783,245,179,18711.747
784,245,179,18737.429
785,245,179,18742.347
786,245,179,18744.048
787,245,179,18743.238
788,245,179,18748.615
789,245,179,18750.325
790,245,179,18751.613
791,245,179,18749.222
792,245,179,18752.604
793,245,179,18751.41
794,245,179,18751.144
795,245,179,18751.869
796,245,179,18760.998
797,245,179,18760.395
798,245,179,18761.553
799,245,179,18762.319
800,245,179,18755.716
801,245,179,18758.471
802,245,179,18758.856
803,245,179,18753.984
804,245,178,18754.255
805,245,178,18752.24
806,245,178,18750.811
807,245,178,18751.244
808,245,179,18760.375
809,245,178,18761.369
810,245,178,18760.953
811,245,179,18757.184
812,245,178,18757.111
813,245,178,18757.193
814,245,178,18758.069
815,245,178,18758.604
816,245,179,18760.543
817,245,179,18762.366
818,245,179,18760.923
819,245,179,18760.34
820,245,179,18760.534
821,245,179,18757.317
822,245,179,18756.217
823,245,179,18755.669
824,245,179,18759.011
825,245,179,18758.782
826,245,179,18759.52
827,245,179,18754.527
828,245,179,18757.841
829,245,179,18758.929
830,245,179,18759.449
831,245,179,18759.055
832,245,179,18760.796
833,245,179,18760.619
834,245,179,18759.22
835,245,179,18758.174
836,245,179,18758.055
837,245,179,18758.014
838,245,179,18757.978
839,245,179,18755.581
840,245,179,18759.149
841,245,179,18755.777
842,245,179,18755.919
843,245,179,18750.077
844,245,179,18762.193
845,245,179,18760.222
846,245,179,18760.222
847,245,179,18760.179
848,245,179,18762.578
849,245,179,18763.651
850,245,179,18761.568
851,245,179,18759.083
852,245,179,18756.328
853,245,179,18755.937
854,245,179,18757.481
855,245,179,18756.512
856,245,179,18757.265
857,245,179,18754.849
858,245,179,18753.047
859,245,179,18753.834
860,245,179,18755.373
861,245,179,18755.106
862,245,179,18754.823
863,245,179,18753.651
864,245,179,18755.449
865,245,179,18754.318
866,245,179,18753.637
867,245,179,18754.174
868,245,179,18754.067
869,245,179,18754.08
870,245,179,18753.922
